Augmented_Smiles,Augmented_Selfies
C(Cc1c(Nc2c(Cl)cccc2F)ccc(C)c1)(=O)O,[C][Branch2][Ring1][N][C][C][=C][Branch1][=C][N][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][F][C][=C][C][Branch1][C][C][=C][Ring1][S][=Branch1][C][=O][O]
Clc1cccc(F)c1Nc1ccc(C)cc1CC(=O)O,[Cl][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][C][=Branch1][C][=O][O]
Cc1cc(CC(=O)O)c(Nc2c(Cl)cccc2F)cc1,[C][C][=C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][=C][Branch1][=C][N][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][F][C][=C][Ring2][Ring1][Ring1]
c1cc(N)cc(CN2C(=O)N(Cc3cc(N)ccc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,[C][=C][C][Branch1][C][N][=C][C][Branch2][Branch1][#Branch1][C][N][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring2][Branch2]
C(N1C(=O)N(Cc2cc(N)ccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1)c1cccc(N)c1,[C][Branch2][Branch1][=Branch1][N][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1]
[C@H]1(Cc2ccccc2)N(Cc2cc(N)ccc2)C(=O)N(Cc2cccc(N)c2)[C@H](Cc2ccccc2)[C@H](O)[C@H]1O,[C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Ring2][Ring2][#Branch1][O]
c1ccc(C[C@H]2N(Cc3cc(N)ccc3)C(=O)N(Cc3cc(N)ccc3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2O)cc1,[C][=C][C][=C][Branch2][Branch1][#Branch2][C][C@H1][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][S][O][C][=C][Ring2][Ring2][Branch2]
c1cc(CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(Cc3cccc(N)c3)C2=O)cc(N)c1,[C][=C][C][Branch2][Branch1][#Branch1][C][N][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][Ring2][Ring1][#C][=O][=C][C][Branch1][C][N][=C][Ring2][Ring2][Branch2]
c1cc(C[C@H]2N(Cc3cccc(N)c3)C(=O)N(Cc3cc(N)ccc3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2O)ccc1,[C][=C][C][Branch2][Branch1][#Branch2][C][C@H1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][S][O][=C][C][=C][Ring2][Ring2][Branch2]
c1cc(N)cc(CN2C(=O)N(Cc3cc(N)ccc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,[C][=C][C][Branch1][C][N][=C][C][Branch2][Branch1][#Branch1][C][N][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring2][Branch2]
c1(C[C@H]2N(Cc3cccc(N)c3)C(=O)N(Cc3cc(N)ccc3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2O)ccccc1,[C][Branch2][Branch1][#Branch2][C][C@H1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][S][O][=C][C][=C][C][=C][Ring2][Ring2][Branch2]
