Augmented_Smiles,Augmented_Selfies
c1cc(-c2[nH]c([C@@H]3CCCN3C(=O)[C@@H](NC(OC)=O)C(C)C)nc2)ccc1-c1ccc(-c2cnc([C@H]3N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC3)[nH]2)cc1,[C][=C][C][Branch2][Ring2][=Branch1][C][NH1][C][Branch2][Ring1][O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][Branch1][Branch2][N][C][Branch1][Ring1][O][C][=O][C][Branch1][C][C][C][=N][C][=Ring2][Ring1][Branch1][=C][C][=C][Ring2][Ring1][O][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=C][N][=C][Branch2][Ring1][=C][C@H1][N][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C@@H1][Branch1][Branch2][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][C][C][Ring1][S][NH1][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][O]
N1(C(=O)[C@@H](NC(OC)=O)C(C)C)[C@H](c2ncc(-c3ccc(-c4ccc(-c5cnc([C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)[nH]5)cc4)cc3)[nH]2)CCC1,[N][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C@@H1][Branch1][Branch2][N][C][Branch1][Ring1][O][C][=O][C][Branch1][C][C][C][C@H1][Branch2][=Branch1][=Branch2][C][=N][C][=C][Branch2][Branch1][=C][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch2][Ring2][=Branch1][C][=C][N][=C][Branch2][Ring1][O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][=Branch1][C][=O][O][C][NH1][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][O][C][=C][Ring2][Ring1][P][NH1][Ring2][Ring2][=Branch1][C][C][C][Ring2][Branch1][=Branch1]
N1(C([C@H](C(C)C)NC(OC)=O)=O)CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4[nH]c([C@H]5N(C([C@H](C(C)C)NC(=O)OC)=O)CCC5)nc4)cc3)cc2)[nH]1,[N][Branch2][Ring1][Ring2][C][Branch1][S][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][Branch1][Ring1][O][C][=O][=O][C][C][C][C@H1][Ring1][S][C][=N][C][=C][Branch2][Branch1][P][C][=C][C][=C][Branch2][Branch1][Branch1][C][=C][C][=C][Branch2][Ring2][=Branch2][C][NH1][C][Branch2][Ring1][=C][C@H1][N][Branch2][Ring1][Ring2][C][Branch1][S][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][=Branch1][C][=O][O][C][=O][C][C][C][Ring1][S][=N][C][=Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][O][C][=C][Ring2][Ring1][P][NH1][Ring2][Ring2][=Branch1]
[C@@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(OC)=O)C(C)C)nc4)cc3)cc2)[nH]1)(C(C)C)NC(OC)=O,[C@@H1][Branch2][#Branch1][Ring2][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=N][C][=C][Branch2][Branch1][=C][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch2][Ring2][=Branch1][C][NH1][C][Branch2][Ring1][O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][Branch1][Branch2][N][C][Branch1][Ring1][O][C][=O][C][Branch1][C][C][C][=N][C][=Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][O][C][=C][Ring2][Ring1][P][NH1][Ring2][Ring2][=Branch1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][Branch1][Ring1][O][C][=O]
c1(N)ncnc2n(C[C@@H](C)OCP(O)(=O)O)cnc12,[C][Branch1][C][N][=N][C][=N][C][N][Branch1][S][C][C@@H1][Branch1][C][C][O][C][P][Branch1][C][O][=Branch1][C][=O][O][C][=N][C][Ring2][Ring1][Ring1][=Ring1][=C]
n1(C[C@@H](C)OCP(O)(=O)O)cnc2c(N)ncnc12,[N][Branch1][S][C][C@@H1][Branch1][C][C][O][C][P][Branch1][C][O][=Branch1][C][=O][O][C][=N][C][=C][Branch1][C][N][N][=C][N][=C][Ring2][Ring1][Ring1][Ring1][#Branch1]
O([C@H](C)Cn1cnc2c(N)ncnc12)CP(O)(O)=O,[O][Branch2][Ring1][=Branch1][C@H1][Branch1][C][C][C][N][C][=N][C][=C][Branch1][C][N][N][=C][N][=C][Ring1][#Branch2][Ring1][#Branch1][C][P][Branch1][C][O][Branch1][C][O][=O]
C(n1c2ncnc(N)c2nc1)[C@@H](C)OCP(=O)(O)O,[C][Branch1][P][N][C][=N][C][=N][C][Branch1][C][N][=C][Ring1][#Branch1][N][=C][Ring1][#Branch2][C@@H1][Branch1][C][C][O][C][P][=Branch1][C][=O][Branch1][C][O][O]
[C@@H](OCP(=O)(O)O)(C)Cn1c2ncnc(N)c2nc1,[C@@H1][Branch1][O][O][C][P][=Branch1][C][=O][Branch1][C][O][O][Branch1][C][C][C][N][C][=N][C][=N][C][Branch1][C][N][=C][Ring1][#Branch1][N][=C][Ring1][#Branch2]
n1cnc(N)c2c1n(C[C@H](OCP(O)(=O)O)C)cn2,[N][=C][N][=C][Branch1][C][N][C][=C][Ring1][#Branch1][N][Branch1][S][C][C@H1][Branch1][O][O][C][P][Branch1][C][O][=Branch1][C][=O][O][C][C][=N][Ring1][=C]
c1nc2n(C[C@@H](C)OCP(=O)(O)O)cnc2c(N)n1,[C][=N][C][N][Branch1][S][C][C@@H1][Branch1][C][C][O][C][P][=Branch1][C][=O][Branch1][C][O][O][C][=N][C][=Ring1][=C][C][Branch1][C][N][=N][Ring2][Ring1][Ring1]
n1cn(C[C@H](OCP(=O)(O)O)C)c2ncnc(N)c12,[N][=C][N][Branch1][S][C][C@H1][Branch1][O][O][C][P][=Branch1][C][=O][Branch1][C][O][O][C][C][=N][C][=N][C][Branch1][C][N][=C][Ring2][Ring1][Ring1][Ring1][#Branch1]
OP(CO[C@@H](Cn1cnc2c1ncnc2N)C)(O)=O,[O][P][Branch2][Ring1][=Branch1][C][O][C@@H1][Branch1][S][C][N][C][=N][C][=C][Ring1][Branch1][N][=C][N][=C][Ring1][=Branch1][N][C][Branch1][C][O][=O]
OP(=O)(CO[C@H](C)Cn1cnc2c1ncnc2N)O,[O][P][=Branch1][C][=O][Branch2][Ring1][=Branch1][C][O][C@H1][Branch1][C][C][C][N][C][=N][C][=C][Ring1][Branch1][N][=C][N][=C][Ring1][=Branch1][N][O]
C(\C(=O)O)=C/c1ccc(NC(C2(NC(=O)c3ccc4c(n(C)c(-c5ncccc5)c4C4CCCC4)c3)CCC2)=O)cc1,[C][Branch1][=Branch1][\C][=Branch1][C][=O][O][=C][/C][=C][C][=C][Branch2][Branch1][O][N][C][Branch2][Branch1][Branch1][C][Branch2][Ring2][O][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch2][Ring1][#Branch2][N][Branch1][C][C][C][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][N][C][C][C][C][C][Ring1][Branch1][=C][Ring2][Ring1][Branch1][C][C][C][Ring2][Ring1][N][=O][C][=C][Ring2][Ring2][Branch1]
C1(c2c3c(n(C)c2-c2ccccn2)cc(C(=O)NC2(C(=O)Nc4ccc(/C=C/C(O)=O)cc4)CCC2)cc3)CCCC1,[C][Branch2][=Branch1][Ring2][C][C][=C][Branch1][S][N][Branch1][C][C][C][=Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Branch2][Ring2][=Branch1][C][=Branch1][C][=O][N][C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch2][/C][=C][/C][Branch1][C][O][=O][C][=C][Ring1][O][C][C][C][Ring2][Ring1][C][C][=C][Ring2][Ring2][Ring2][C][C][C][C][Ring2][Ring2][#Branch2]
c12n(C)c(-c3ncccc3)c(C3CCCC3)c1ccc(C(=O)NC1(C(Nc3ccc(/C=C/C(=O)O)cc3)=O)CCC1)c2,[C][N][Branch1][C][C][C][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][=Ring1][P][C][=C][C][Branch2][Ring2][#Branch1][C][=Branch1][C][=O][N][C][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][N][C][=C][C][=C][Branch1][Branch2][/C][=C][/C][=Branch1][C][=O][O][C][=C][Ring1][O][=O][C][C][C][Ring2][Ring1][C][=C][Ring2][Ring2][#Branch2]
c1nc(-c2n(C)c3c(ccc(C(NC4(C(Nc5ccc(/C=C/C(O)=O)cc5)=O)CCC4)=O)c3)c2C2CCCC2)ccc1,[C][=N][C][Branch2][=Branch1][#Branch1][C][N][Branch1][C][C][C][=C][Branch2][Branch1][C][C][=C][C][Branch2][Ring2][Branch2][C][Branch2][Ring2][Ring1][N][C][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][N][C][=C][C][=C][Branch1][Branch2][/C][=C][/C][Branch1][C][O][=O][C][=C][Ring1][O][=O][C][C][C][Ring2][Ring1][C][=O][=C][Ring2][Ring1][O][C][=Ring2][Ring1][#C][C][C][C][C][C][Ring1][Branch1][=C][C][=C][Ring2][Ring2][#Branch2]
OC(/C=C/c1ccc(NC(=O)C2(NC(c3ccc4c(n(C)c(-c5ccccn5)c4C4CCCC4)c3)=O)CCC2)cc1)=O,[O][C][Branch2][=Branch1][=Branch2][/C][=C][/C][=C][C][=C][Branch2][Branch1][O][N][C][=Branch1][C][=O][C][Branch2][Ring2][N][N][C][Branch2][Ring2][=Branch1][C][=C][C][=C][C][Branch2][Ring1][#Branch2][N][Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][=C][Ring1][N][C][C][C][C][C][Ring1][Branch1][=C][Ring2][Ring1][Branch1][=O][C][C][C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Branch1][=O]
c1(/C=C/C(O)=O)ccc(NC(=O)C2(NC(=O)c3cc4n(C)c(-c5ncccc5)c(C5CCCC5)c4cc3)CCC2)cc1,[C][Branch1][Branch2][/C][=C][/C][Branch1][C][O][=O][=C][C][=C][Branch2][Branch1][=Branch2][N][C][=Branch1][C][=O][C][Branch2][Ring2][#Branch2][N][C][=Branch1][C][=O][C][=C][C][N][Branch1][C][C][C][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][=Ring1][P][C][=C][Ring2][Ring1][Branch1][C][C][C][Ring2][Ring1][N][C][=C][Ring2][Ring2][#Branch2]
c1cc(/C=C/C(O)=O)ccc1NC(=O)C1(NC(c2ccc3c(C4CCCC4)c(-c4ccccn4)n(C)c3c2)=O)CCC1,[C][=C][C][Branch1][Branch2][/C][=C][/C][Branch1][C][O][=O][=C][C][=C][Ring1][O][N][C][=Branch1][C][=O][C][Branch2][Ring2][O][N][C][Branch2][Ring2][Branch1][C][=C][C][=C][C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][=C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][N][Branch1][C][C][C][Ring1][P][=C][Ring2][Ring1][Branch1][=O][C][C][C][Ring2][Ring1][N]
n1ccccc1-c1n(C)c2cc(C(NC3(C(Nc4ccc(/C=C/C(=O)O)cc4)=O)CCC3)=O)ccc2c1C1CCCC1,[N][=C][C][=C][C][=C][Ring1][=Branch1][C][N][Branch1][C][C][C][=C][C][Branch2][Ring2][Branch2][C][Branch2][Ring2][Ring1][N][C][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][N][C][=C][C][=C][Branch1][Branch2][/C][=C][/C][=Branch1][C][=O][O][C][=C][Ring1][O][=O][C][C][C][Ring2][Ring1][C][=O][=C][C][=C][Ring2][Ring1][O][C][=Ring2][Ring1][#C][C][C][C][C][C][Ring1][Branch1]
c1c(NC(C2(NC(c3ccc4c(C5CCCC5)c(-c5ncccc5)n(C)c4c3)=O)CCC2)=O)ccc(/C=C/C(=O)O)c1,[C][=C][Branch2][Branch1][O][N][C][Branch2][Branch1][Branch1][C][Branch2][Ring2][O][N][C][Branch2][Ring2][Branch1][C][=C][C][=C][C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][=C][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][Ring1][P][=C][Ring2][Ring1][Branch1][=O][C][C][C][Ring2][Ring1][N][=O][C][=C][C][Branch1][Branch2][/C][=C][/C][=Branch1][C][=O][O][=C][Ring2][Ring2][#Branch2]
N(C(=O)C1(NC(c2cc3n(C)c(-c4ccccn4)c(C4CCCC4)c3cc2)=O)CCC1)c1ccc(/C=C/C(O)=O)cc1,[N][Branch2][Branch1][=Branch2][C][=Branch1][C][=O][C][Branch2][Ring2][O][N][C][Branch2][Ring2][Branch1][C][=C][C][N][Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][=C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][=Ring1][P][C][=C][Ring2][Ring1][Branch1][=O][C][C][C][Ring2][Ring1][N][C][=C][C][=C][Branch1][Branch2][/C][=C][/C][Branch1][C][O][=O][C][=C][Ring1][O]
n1c(Cl)nc2c(c1NCc1cccc(I)c1)ncn2[C@@H]1O[C@H](C(NC)=O)[C@@H](O)[C@H]1O,[N][=C][Branch1][C][Cl][N][=C][C][=Branch1][P][=C][Ring1][#Branch1][N][C][C][=C][C][=C][C][Branch1][C][I][=C][Ring1][#Branch1][N][=C][N][Ring1][#C][C@@H1][O][C@H1][Branch1][#Branch1][C][Branch1][Ring1][N][C][=O][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O]
c1c(I)cc(CNc2c3ncn([C@H]4[C@H](O)[C@H](O)[C@@H](C(NC)=O)O4)c3nc(Cl)n2)cc1,[C][=C][Branch1][C][I][C][=C][Branch2][Ring2][N][C][N][C][=C][N][=C][N][Branch2][Ring1][=Branch1][C@H1][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][C][Branch1][Ring1][N][C][=O][O][Ring1][O][C][Ring1][S][=N][C][Branch1][C][Cl][=N][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][=C]
C(c1cccc(I)c1)Nc1c2c(n([C@@H]3O[C@H](C(NC)=O)[C@@H](O)[C@H]3O)cn2)nc(Cl)n1,[C][Branch1][N][C][=C][C][=C][C][Branch1][C][I][=C][Ring1][#Branch1][N][C][=C][C][Branch2][Ring1][N][N][Branch2][Ring1][Ring2][C@@H1][O][C@H1][Branch1][#Branch1][C][Branch1][Ring1][N][C][=O][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][=N][Ring1][S][=N][C][Branch1][C][Cl][=N][Ring2][Ring1][Branch1]
[C@@H]1(n2cnc3c2nc(Cl)nc3NCc2cccc(I)c2)O[C@H](C(NC)=O)[C@@H](O)[C@H]1O,[C@@H1][Branch2][Ring1][=C][N][C][=N][C][=C][Ring1][Branch1][N][=C][Branch1][C][Cl][N][=C][Ring1][#Branch1][N][C][C][=C][C][=C][C][Branch1][C][I][=C][Ring1][#Branch1][O][C@H1][Branch1][#Branch1][C][Branch1][Ring1][N][C][=O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=N][O]
O=C(NC)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc23)[C@H](O)[C@@H]1O,[O][=C][Branch1][Ring1][N][C][C@H1][O][C@@H1][Branch2][Ring1][P][N][C][=N][C][=C][Branch1][=C][N][C][C][=C][C][=C][C][Branch1][C][I][=C][Ring1][#Branch1][N][=C][Branch1][C][Cl][N][=C][Ring2][Ring1][Ring1][Ring1][S][C@H1][Branch1][C][O][C@@H1][Ring2][Ring1][=Branch2][O]
Ic1cc(CNc2nc(Cl)nc3c2ncn3[C@@H]2O[C@H](C(NC)=O)[C@@H](O)[C@H]2O)ccc1,[I][C][=C][C][Branch2][Ring2][=Branch1][C][N][C][=N][C][Branch1][C][Cl][=N][C][=C][Ring1][#Branch1][N][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch1][#Branch1][C][Branch1][Ring1][N][C][=O][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][=C][C][=C][Ring2][Ring1][=N]
c1c(I)cccc1CNc1c2c(nc(Cl)n1)n([C@@H]1O[C@H](C(=O)NC)[C@@H](O)[C@H]1O)cn2,[C][=C][Branch1][C][I][C][=C][C][=C][Ring1][#Branch1][C][N][C][=C][C][=Branch1][=Branch2][=N][C][Branch1][C][Cl][=N][Ring1][#Branch1][N][Branch2][Ring1][Ring2][C@@H1][O][C@H1][Branch1][#Branch1][C][=Branch1][C][=O][N][C][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][=N][Ring2][Ring1][Ring2]
N(Cc1cc(I)ccc1)c1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H](C(NC)=O)O1,[N][Branch1][=N][C][C][=C][C][Branch1][C][I][=C][C][=C][Ring1][#Branch1][C][=N][C][Branch1][C][Cl][=N][C][=C][Ring1][#Branch1][N][=C][N][Ring1][Branch1][C@H1][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][C][Branch1][Ring1][N][C][=O][O][Ring1][O]
n1c2c(nc(Cl)nc2NCc2cc(I)ccc2)n([C@@H]2O[C@H](C(NC)=O)[C@@H](O)[C@H]2O)c1,[N][C][=C][Branch2][Ring1][#Branch1][N][=C][Branch1][C][Cl][N][=C][Ring1][#Branch1][N][C][C][=C][C][Branch1][C][I][=C][C][=C][Ring1][#Branch1][N][Branch2][Ring1][Ring2][C@@H1][O][C@H1][Branch1][#Branch1][C][Branch1][Ring1][N][C][=O][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][=Ring2][Ring1][=C]
n1c(NCc2cc(I)ccc2)c2c(n([C@H]3[C@H](O)[C@H](O)[C@@H](C(=O)NC)O3)cn2)nc1Cl,[N][=C][Branch1][=C][N][C][C][=C][C][Branch1][C][I][=C][C][=C][Ring1][#Branch1][C][=C][Branch2][Ring1][=C][N][Branch2][Ring1][=Branch1][C@H1][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][C][=Branch1][C][=O][N][C][O][Ring1][O][C][=N][Ring1][S][N][=C][Ring2][Ring1][=N][Cl]
n1c(=O)c2c([nH]c1N)n(COCCOC(=O)[C@H](C(C)C)N)cn2,[N][C][=Branch1][C][=O][C][=C][Branch1][=Branch1][NH1][C][=Ring1][#Branch1][N][N][Branch2][Ring1][Ring1][C][O][C][C][O][C][=Branch1][C][=O][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][=N][Ring2][Ring1][Ring2]
O(CCOCn1c2c(c(=O)nc(N)[nH]2)nc1)C([C@H](C(C)C)N)=O,[O][Branch2][Ring1][#Branch2][C][C][O][C][N][C][=C][Branch1][=N][C][=Branch1][C][=O][N][=C][Branch1][C][N][NH1][Ring1][Branch2][N][=C][Ring1][O][C][Branch1][#Branch2][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][=O]
O(CCOC(=O)[C@@H](N)C(C)C)Cn1cnc2c(=O)nc(N)[nH]c21,[O][Branch1][P][C][C][O][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][Branch1][C][C][C][C][N][C][=N][C][C][=Branch1][C][=O][N][=C][Branch1][C][N][NH1][C][=Ring1][Branch2][Ring1][O]
O=C(OCCOCn1c2[nH]c(N)nc(=O)c2nc1)[C@H](C(C)C)N,[O][=C][Branch2][Ring1][=Branch2][O][C][C][O][C][N][C][NH1][C][Branch1][C][N][=N][C][=Branch1][C][=O][C][=Ring1][Branch2][N][=C][Ring1][O][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N]
c1(N)nc(=O)c2c(n(COCCOC([C@H](C(C)C)N)=O)cn2)[nH]1,[C][Branch1][C][N][=N][C][=Branch1][C][=O][C][=C][Branch2][Ring1][O][N][Branch2][Ring1][Ring1][C][O][C][C][O][C][Branch1][#Branch2][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][=O][C][=N][Ring1][P][NH1][Ring2][Ring1][#Branch1]
C([C@H](N)C(OCCOCn1c2c(c(=O)nc(N)[nH]2)nc1)=O)(C)C,[C][Branch2][Ring2][Ring2][C@H1][Branch1][C][N][C][Branch2][Ring1][O][O][C][C][O][C][N][C][=C][Branch1][=N][C][=Branch1][C][=O][N][=C][Branch1][C][N][NH1][Ring1][Branch2][N][=C][Ring1][O][=O][Branch1][C][C][C]
O(CCOCn1c2[nH]c(N)nc(=O)c2nc1)C([C@H](C(C)C)N)=O,[O][Branch2][Ring1][Branch2][C][C][O][C][N][C][NH1][C][Branch1][C][N][=N][C][=Branch1][C][=O][C][=Ring1][Branch2][N][=C][Ring1][O][C][Branch1][#Branch2][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][=O]
n1c2c(n(COCCOC([C@@H](N)C(C)C)=O)c1)[nH]c(N)nc2=O,[N][C][=C][Branch2][Ring1][#Branch2][N][Branch2][Ring1][Ring1][C][O][C][C][O][C][Branch1][#Branch2][C@@H1][Branch1][C][N][C][Branch1][C][C][C][=O][C][=Ring1][P][NH1][C][Branch1][C][N][=N][C][Ring2][Ring1][Branch1][=O]
C(COCn1c2c(c(=O)nc(N)[nH]2)nc1)OC([C@H](C(C)C)N)=O,[C][Branch2][Ring1][=Branch2][C][O][C][N][C][=C][Branch1][=N][C][=Branch1][C][=O][N][=C][Branch1][C][N][NH1][Ring1][Branch2][N][=C][Ring1][O][O][C][Branch1][#Branch2][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][=O]
c1(N)[nH]c2c(c(=O)n1)ncn2COCCOC(=O)[C@@H](N)C(C)C,[C][Branch1][C][N][NH1][C][=C][Branch1][Branch2][C][=Branch1][C][=O][N][=Ring1][Branch2][N][=C][N][Ring1][Branch2][C][O][C][C][O][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][Branch1][C][C][C]
o1c2c(c(=O)c(O)c1-c1cc(O)c(O)cc1)c(O)cc(O)c2,[O][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][Branch1][C][O][=C][Ring1][Branch2][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][Branch1]
c12c(c(=O)c(O)c(-c3ccc(O)c(O)c3)o1)c(O)cc(O)c2,[C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][C][Branch1][C][O][=C][Branch1][#C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][O][Ring1][S][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][=Branch1]
c1(O)c(-c2cc(O)c(O)cc2)oc2c(c1=O)c(O)cc(O)c2,[C][Branch1][C][O][=C][Branch1][#C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][C][=C][Branch1][Branch1][C][Ring1][#C][=O][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][#Branch2]
Oc1cc(O)c2c(oc(-c3ccc(O)c(O)c3)c(O)c2=O)c1,[O][C][=C][C][Branch1][C][O][=C][C][Branch2][Ring1][O][O][C][Branch1][#C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][=C][Branch1][C][O][C][Ring1][#C][=O][=C][Ring2][Ring1][Branch1]
o1c2c(c(=O)c(O)c1-c1cc(O)c(O)cc1)c(O)cc(O)c2,[O][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][Branch1][C][O][=C][Ring1][Branch2][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][Branch1]
c1c2c(c(O)cc1O)c(=O)c(O)c(-c1cc(O)c(O)cc1)o2,[C][=C][C][=Branch1][#Branch2][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O][C][=Branch1][C][=O][C][Branch1][C][O][=C][Branch1][#C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][Ring2][Ring1][Branch1]
c1(O)c(O)cc(-c2c(O)c(=O)c3c(o2)cc(O)cc3O)cc1,[C][Branch1][C][O][=C][Branch1][C][O][C][=C][Branch2][Ring1][O][C][=C][Branch1][C][O][C][=Branch1][C][=O][C][=C][Branch1][Ring2][O][Ring1][Branch2][C][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][C][=C][Ring2][Ring1][=Branch1]
c1(-c2cc(O)c(O)cc2)oc2cc(O)cc(O)c2c(=O)c1O,[C][Branch1][#C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][C][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][C][=Ring2][Ring1][Branch1][O]
c1(O)cc(O)cc2oc(-c3cc(O)c(O)cc3)c(O)c(=O)c12,[C][Branch1][C][O][=C][C][Branch1][C][O][=C][C][O][C][Branch1][#C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][=C][Branch1][C][O][C][=Branch1][C][=O][C][Ring2][Ring1][=Branch1][=Ring1][S]
c12c(c(=O)c(O)c(-c3cc(O)c(O)cc3)o1)c(O)cc(O)c2,[C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][C][Branch1][C][O][=C][Branch1][#C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][Ring1][S][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][=Branch1]
O1c2c(ccc(OC[C@@H]3CNCC[C@H]3c3ccc(F)cc3)c2)OC1,[O][C][=C][Branch2][Ring1][S][C][=C][C][Branch2][Ring1][=Branch1][O][C][C@@H1][C][N][C][C][C@H1][Ring1][=Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=C][Ring2][Ring1][Branch1][O][C][Ring2][Ring1][Branch2]
[C@H]1(COc2cc3c(cc2)OCO3)[C@H](c2ccc(F)cc2)CCNC1,[C@H1][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][Ring1][#Branch1][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][N][C][Ring2][Ring1][Branch2]
c1c([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)ccc(F)c1,[C][=C][Branch2][Ring1][#Branch2][C@@H1][C][C][N][C][C@H1][Ring1][=Branch1][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][C][=C][C][Branch1][C][F][=C][Ring2][Ring1][Branch2]
C1C[C@@H](c2ccc(F)cc2)[C@H](COc2cc3c(cc2)OCO3)CN1,[C][C][C@@H1][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C@H1][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][Ring1][#Branch1][C][N][Ring2][Ring1][Branch2]
