"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2013174";"VEDROPREVIR";"GS-9451|VEDROPREVIR";"Small molecule";"2";"910.53";"17";"52";"6.20";"193.78";"13";"4";"3";"16";"N";"0.13";"3.42";"5.74";"3.45";"2.46";"3";"MOL";"0";"63";"16";"4";"3";"909.3862";"ACID";"C45H60ClN7O9S";"CC[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3c(Cl)c(OCCN4CCOCC4)ccc23)CN1C(=O)[C@@H](NC(=O)O[C@@H]1C[C@@H]2C[C@@H]2C1)C(C)(C)C)C(=O)O";"OTXAMWFYPMNDME-FQQWJMKMSA-N"
"CHEMBL322241";"TELINAVIR";"NSC-670881|SC-52151|TELINAVIR";"Small molecule";"1";"604.75";"5";"6";"2.76";"166.75";"6";"5";"1";"13";"N";"0.20";"13.59";"1.51";"2.48";"2.48";"3";"MOL";"0";"44";"11";"6";"3";"604.3373";"NEUTRAL";"C33H44N6O5";"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(=O)NC(C)(C)C";"ZILOOGIOHVCEKS-HZFUHODCSA-N"
"CHEMBL2063090";"GRAZOPREVIR";"GRAZOPREVIR|GRAZOPREVIR HYDRATE|GRAZOPREVIR MONOHYDRATE|MK-5172|MK-5172 ANHYDROUS|MK-5172 MONOHYDRATE";"Small molecule";"4";"766.92";"13";"88";"3.30";"195.22";"11";"3";"2";"7";"N";"0.35";"3.77";"1.79";"3.35";"2.50";"2";"MOL";"0";"54";"15";"3";"2";"766.3360";"ACID";"C38H50N6O9S";"C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1";"OBMNJSNZOWALQB-NCQNOWPTSA-N"
"CHEMBL1200574";"SODIUM CHLORIDE";"0.9% NACL|0.9% SALINE|0.9% SALINE SOLUTION|10% SODIUM CHLORIDE INJECTION|AQSIA (BALANCED SALT SOLN)|ASKINA|ASKINA JET|B1655|BALANCED SALT|BRONCHO SALINE|BSS (BALANCED SALT SOLN)|FLOWFUSOR|FRESENIUS|HYPROMELLOSE IN RINGERS SOLN|IOCARE (BALANCED SALT SOLN)|IRRICLENS|ISOT SALINE|ISOTONIC|ISOTONIC SALINE|LABMIST|LOCKES|LS-1700|MACOPERF|MINIVERSOL|MURO 128|NACL 0.9%|NINE LIVES|NORMAL SALINE|NORMASOL|NSC-77364|OFT CUSI ANTIEDEMA|OPTIFLO S|PHYSIOMER|RINGER'S|RINGER-LOCKE|RNS-60 COMPONENT SALINE|RNS60 COMPONENT SALINE|S-CHLOR SF|SALEX|SALINE|SALINE SOLUTION|SALINE STERIPOULE|SALINEX|SEA WATER|SLOW SOD|SODICLOR|SODIUM CHLORIDE|SODIUM CHLORIDE 14.6%|SODIUM CHLORIDE 23.4%|SODIUM CHLORIDE SOLUTION|SODIUM CHLORIDE, HYPERTONIC|STERAC|STERI-WASH|STERIJET|SYRISAL|Sodium Chloride, Hypertonic|TOPICLENS|TUBILUX|Table Salt|URIFLEX-S|URIFLEX-SP|UROCLENS|VITACLEAN";"Small molecule";"4";"58.44";"15";"136";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"57.9586";"None";"ClNa";"[Cl-].[Na+]";"FAPWRFPIFSIZLT-UHFFFAOYSA-M"
"CHEMBL729";"LOPINAVIR";"A-157378-0|A-157378.0|ABT-378|ALUVIRAN|KOLETRA|Kaletra|LOPINAVIR|LOPINAVIR, (S-(2S,4S,5S))-|LOPINAVIR-|LOPINAVIRUM";"Small molecule";"4";"628.81";"67";"840";"4.33";"120.00";"5";"4";"1";"15";"N";"0.20";"13.39";"None";"4.69";"4.69";"3";"MOL";"0";"46";"9";"4";"1";"628.3625";"NEUTRAL";"C37H48N4O5";"Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O";"KJHKTHWMRKYKJE-SUGCFTRWSA-N"
"CHEMBL3989607";"DROXINAVIR HYDROCHLORIDE";"DROXINAVIR HCL|DROXINAVIR HYDROCHLORIDE|SC-55389A";"Small molecule";"0";"570.22";"";"";"2.68";"122.80";"5";"5";"1";"13";"N";"0.27";"12.55";"8.50";"2.67";"1.54";"1";"MOL";"0";"38";"9";"5";"1";"533.3941";"BASE";"C29H52ClN5O4";"CNCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CCC(C)C)C(=O)NC(C)(C)C)C(C)(C)C.Cl";"IYKXRORSPVZSHP-ZELIPEIJSA-N"
"CHEMBL2146090";"DANOPREVIR SODIUM";"DANOPREVIR SODIUM|ITMN-191|R-7227|R7227|RO5190591-001";"Small molecule";"0";"753.83";"";"";"3.14";"180.52";"9";"3";"1";"5";"N";"0.38";"3.77";"None";"2.55";"1.61";"1";"MOL";"0";"51";"14";"3";"2";"731.3000";"ACID";"C35H45FN5NaO9S";"CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)[N-]S(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O.[Na+]";"GXYYUDQAGCVAGJ-HHGSPMIASA-M"
"CHEMBL282042";"SAQUINAVIR MESYLATE";"FORTOVASE|Invirase|RO 31-8959/003|RO-318959003|Ro-31-8959-003|SAQUINAVIR MESILATE|SAQUINAVIR MESYLATE|SAQUINAVIR METHANESULFONATE SALT";"Small molecule";"4";"766.96";"44";"105";"3.09";"166.75";"7";"5";"1";"12";"N";"0.20";"13.61";"8.47";"3.16";"2.05";"3";"MOL";"0";"49";"11";"6";"3";"670.3843";"NEUTRAL";"C39H54N6O8S";"CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O";"IRHXGOXEBNJUSN-YOXDLBRISA-N"
"CHEMBL599872";"VANIPREVIR";"MK-7009|VANIPREVIR";"Small molecule";"3";"755.93";"";"";"3.67";"180.52";"9";"3";"1";"6";"N";"0.37";"3.77";"None";"3.85";"2.90";"1";"MOL";"0";"53";"14";"3";"2";"755.3564";"ACID";"C38H53N5O9S";"C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1";"HPAPGONEMPZXMM-ONAXAZCASA-N"
"CHEMBL4297647";"FURAPREVIR";"FURAPREVIR|TG-2349";"Small molecule";"3";"897.06";"";"";"6.61";"208.36";"12";"3";"3";"10";"N";"0.14";"3.74";"0.59";"6.50";"5.44";"4";"MOL";"0";"64";"16";"3";"3";"896.3779";"ACID";"C47H56N6O10S";"CC(C)Oc1ccc(-c2nc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)c3oc4ccccc4c3n2)cc1";"GZRNOYTVBWWFLJ-NTPALUMKSA-N"
"CHEMBL501849";"SIMEPREVIR";"OLYSIO|SIMEPREVIR|TMC 435|TMC 435350|TMC-435|TMC-435350|TMC435|TMC435350";"Small molecule";"4";"749.96";"26";"270";"5.25";"156.89";"10";"2";"2";"8";"N";"0.29";"3.77";"1.60";"4.56";"3.61";"3";"MOL";"0";"52";"12";"2";"3";"749.2917";"ACID";"C38H47N5O7S2";"COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C";"JTZZSQYMACOLNN-VDWJNHBNSA-N"
"CHEMBL2103936";"TIPRANAVIR DISODIUM";"PNU-140690E|TIPRANAVIR DISODIUM|TIPRANAVIR SODIUM";"Small molecule";"0";"646.64";"";"";"7.33";"105.59";"6";"2";"2";"11";"N";"0.22";"4.43";"None";"7.14";"3.45";"3";"MOL";"0";"42";"7";"2";"2";"602.2062";"ACID";"C31H31F3N2Na2O5S";"CCC[C@@]1(CCc2ccccc2)CC([O-])=C([C@H](CC)c2cccc([N-]S(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1.[Na+].[Na+]";"ZBWMQTUSVWBMQE-KPHXKKTMSA-M"
"CHEMBL1735";"INDINAVIR SULFATE";"Crixivan|INDINAVIR SULFATE|INDINAVIR SULFATE ETHANOLATE|INDINAVIR SULPHATE|INDINAVIRI SULFAS|L-735,524|L-735524|MK-639|NSC-697197";"Small molecule";"4";"711.88";"22";"49";"2.87";"118.03";"7";"4";"1";"11";"N";"0.26";"13.01";"6.76";"2.81";"2.72";"3";"MOL";"0";"45";"9";"4";"1";"613.3628";"NEUTRAL";"C36H49N5O8S";"CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O";"NUBQKPWHXMGDLP-BDEHJDMKSA-N"
"CHEMBL1200678";"ATAZANAVIR SULFATE";"ATAZANAVIR SO4|ATAZANAVIR SULFATE|ATAZANAVIR SULPHATE|ATAZANAVIRI SULFAS|ATAZOR|BMS-232632-05|NSC-742546|Reyataz";"Small molecule";"4";"802.95";"2";"4";"4.21";"171.22";"9";"5";"1";"14";"N";"0.15";"11.92";"4.42";"4.54";"4.54";"3";"MOL";"0";"51";"13";"5";"2";"704.3897";"NEUTRAL";"C38H54N6O11S";"COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O";"DQSGVVGOPRWTKI-QVFAWCHISA-N"
