Augmented_Smiles,Augmented_Selfies,selfies_length
N(C([C@H]1N(C[C@@H](O)C[C@@H](Cc2ccccc2)C(N[C@H]2c3c(cccc3)C[C@H]2O)=O)CCN(Cc2cnccc2)C1)=O)C(C)(C)C,[N][Branch2][=Branch1][Branch1][C][Branch2][Branch1][S][C@H1][N][Branch2][Ring2][=Branch2][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][C][N][C@H1][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][=O][C][C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring2][=Branch1][=O][C][Branch1][C][C][Branch1][C][C][C],80
CC(C)(NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]2c3c(cccc3)C[C@H]2O)=O)O)CCN(Cc2cccnc2)C1)=O)C,[C][C][Branch1][C][C][Branch2][=Branch1][#Branch1][N][C][Branch2][Branch1][P][C@H1][N][Branch2][Ring2][#Branch2][C][C@H1][Branch2][Ring2][Ring2][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][C][N][C@H1][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][=O][O][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][Ring2][Ring2][=Branch1][=O][C],79
c1(CN2C[C@@H](C(=O)NC(C)(C)C)N(C[C@H](C[C@H](C(=O)N[C@H]3c4c(cccc4)C[C@H]3O)Cc3ccccc3)O)CC2)cccnc1,[C][Branch2][=Branch1][=Branch1][C][N][C][C@@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][N][Branch2][Ring2][#Branch2][C][C@H1][Branch2][Ring2][Ring2][C][C@H1][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Ring2][Ring2][=Branch1][=C][C][=C][N][=C][Ring2][Ring2][=N],81
c1ccc(CN2CCN(C[C@@H](O)C[C@H](C(N[C@@H]3[C@H](O)Cc4ccccc43)=O)Cc3ccccc3)[C@H](C(NC(C)(C)C)=O)C2)cn1,[C][=C][C][=C][Branch2][=Branch1][=Branch1][C][N][C][C][N][Branch2][Ring2][#Branch2][C][C@@H1][Branch1][C][O][C][C@H1][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][=C][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][C][Ring2][Ring2][=Branch1][C][=N][Ring2][Ring2][=N],81
C(=O)([C@H]1N(C[C@@H](O)C[C@H](C(N[C@@H]2[C@H](O)Cc3ccccc32)=O)Cc2ccccc2)CCN(Cc2cccnc2)C1)NC(C)(C)C,[C][=Branch1][C][=O][Branch2][Branch1][P][C@H1][N][Branch2][Ring2][#Branch2][C][C@@H1][Branch1][C][O][C][C@H1][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][Ring2][Ring2][=Branch1][N][C][Branch1][C][C][Branch1][C][C][C],80
c1c(C[C@@H](C(N[C@H]2c3ccccc3C[C@H]2O)=O)C[C@@H](CN2CCN(Cc3cnccc3)C[C@H]2C(NC(C)(C)C)=O)O)cccc1,[C][=C][Branch2][Branch1][S][C][C@@H1][Branch2][Ring1][Ring2][C][Branch1][S][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][=O][C][C@@H1][Branch2][Ring2][C][C][N][C][C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=N][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][O][C][=C][C][=C][Ring2][Ring2][=N],75
C1[C@@H](C(=O)NC(C)(C)C)N(C[C@H](C[C@H](C(N[C@H]2c3ccccc3C[C@H]2O)=O)Cc2ccccc2)O)CCN1Cc1cnccc1,[C][C@@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][N][Branch2][Ring2][Branch2][C][C@H1][Branch2][Ring2][C][C][C@H1][Branch2][Ring1][Ring2][C][Branch1][S][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][N][Ring2][Ring2][=Branch1][C][C][=C][N][=C][C][=C][Ring1][=Branch1],75
C(c1cnccc1)N1CCN(C[C@@H](O)C[C@H](C(=O)N[C@H]2c3ccccc3C[C@H]2O)Cc2ccccc2)[C@H](C(=O)NC(C)(C)C)C1,[C][Branch1][=Branch2][C][=C][N][=C][C][=C][Ring1][=Branch1][N][C][C][N][Branch2][Ring2][#Branch1][C][C@@H1][Branch1][C][O][C][C@H1][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][Ring2][Ring2][=Branch1],76
[C@@H](CN1CCN(Cc2cccnc2)C[C@H]1C(NC(C)(C)C)=O)(C[C@@H](Cc1ccccc1)C(N[C@@H]1[C@H](O)Cc2c1cccc2)=O)O,[C@@H1][Branch2][Ring2][C][C][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C@H1][Ring1][=N][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][Branch2][Ring2][Ring2][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][C][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][=O][O],76
c1ccncc1CN1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H]2[C@H](O)Cc3ccccc32)[C@H](C(=O)NC(C)(C)C)C1,[C][=C][C][=N][C][=C][Ring1][=Branch1][C][N][C][C][N][Branch2][Ring2][Branch2][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][Ring2][Ring2][=Branch1],75
c12ccccc1C[C@@H](O)[C@H]2NC([C@@H](C[C@@H](CN1[C@H](C(=O)NC(C)(C)C)CN(Cc2cccnc2)CC1)O)Cc1ccccc1)=O,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][C][Branch2][Branch1][Branch2][C@@H1][Branch2][Ring2][O][C][C@@H1][Branch2][Ring2][Branch1][C][N][C@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=O],77
c1c(CN2C[C@@H](C(=O)NC(C)(C)C)N(C[C@H](C[C@H](C(=O)N[C@H]3c4ccccc4C[C@H]3O)Cc3ccccc3)O)CC2)cccn1,[C][=C][Branch2][=Branch1][Ring2][C][N][C][C@@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][N][Branch2][Ring2][Branch2][C][C@H1][Branch2][Ring2][C][C][C@H1][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Ring2][Ring2][=Branch1][C][=C][C][=N][Ring2][Ring2][=N],79
C1N(C[C@H](C[C@H](C(=O)N[C@@H]2[C@H](O)Cc3c2cccc3)Cc2ccccc2)O)[C@H](C(NC(C)(C)C)=O)CN(Cc2cnccc2)C1,[C][N][Branch2][Ring2][#Branch2][C][C@H1][Branch2][Ring2][Ring2][C][C@H1][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C@H1][Branch1][=C][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring2][=N],79
C1N(Cc2cnccc2)CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(N[C@H]2c3c(cccc3)C[C@H]2O)=O)[C@@H]1C(NC(C)(C)C)=O,[C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][C][N][Branch2][Ring2][=Branch2][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][C][N][C@H1][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][=O][C@@H1][Ring2][Ring2][=Branch1][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O],76
C1N(C[C@@H](O)C[C@H](C(=O)N[C@@H]2[C@H](O)Cc3c2cccc3)Cc2ccccc2)[C@H](C(=O)NC(C)(C)C)CN(Cc2cccnc2)C1,[C][N][Branch2][Ring2][=Branch2][C][C@@H1][Branch1][C][O][C][C@H1][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][Ring2][Ring2][=N],78
C([C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)[C@@H](CN1CCN(Cc2cccnc2)C[C@H]1C(NC(C)(C)C)=O)O,[C][Branch2][Ring2][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch2][Ring2][C][C][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C@H1][Ring1][=N][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][O],75
c12c(cccc1)C[C@@H](O)[C@H]2NC([C@@H](C[C@@H](CN1CCN(Cc2cnccc2)C[C@H]1C(NC(C)(C)C)=O)O)Cc1ccccc1)=O,[C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][C][Branch2][Branch1][Branch1][C@@H1][Branch2][Ring2][Branch2][C][C@@H1][Branch2][Ring2][C][C][N][C][C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=N][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=O],76
c12ccccc1C[C@@H](O)[C@H]2NC(=O)[C@H](Cc1ccccc1)C[C@H](O)CN1[C@H](C(NC(C)(C)C)=O)CN(Cc2cnccc2)CC1,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C][N][C@H1][Branch1][=C][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2],74
N(C(C)(C)C)C(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@H](C(N[C@@H]1[C@H](O)Cc2ccccc21)=O)Cc1ccccc1,[N][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C@@H1][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C][N][Ring1][=N][C][C@@H1][Branch1][C][O][C][C@H1][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],75
O=C([C@@H]1CN(Cc2cnccc2)CCN1C[C@H](C[C@@H](Cc1ccccc1)C(N[C@@H]1[C@H](O)Cc2ccccc21)=O)O)NC(C)(C)C,[O][=C][Branch2][Branch1][=N][C@@H1][C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][C][N][Ring1][=N][C][C@H1][Branch2][Ring2][Ring2][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][C][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=O][O][N][C][Branch1][C][C][Branch1][C][C][C],74
c1ccccc1C[C@H](C[C@H](O)CN1[C@H](C(=O)NC(C)(C)C)CN(Cc2cccnc2)CC1)C(N[C@H]1c2c(cccc2)C[C@H]1O)=O,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch2][Ring2][#Branch2][C][C@H1][Branch1][C][O][C][N][C@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][C][Branch2][Ring1][C][N][C@H1][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][=O],76
C1N(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H]2[C@H](O)Cc3c2cccc3)[C@H](C(NC(C)(C)C)=O)CN(Cc2cnccc2)C1,[C][N][Branch2][Ring2][Branch2][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][=C][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring2][=N],77
c1cc(CN2CCN(C[C@@H](O)C[C@H](C(=O)N[C@@H]3[C@H](O)Cc4c3cccc4)Cc3ccccc3)[C@H](C(NC(C)(C)C)=O)C2)cnc1,[C][=C][C][Branch2][=Branch1][Branch1][C][N][C][C][N][Branch2][Ring2][=Branch2][C][C@@H1][Branch1][C][O][C][C@H1][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][=C][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][C][Ring2][Ring2][=Branch1][=C][N][=C][Ring2][Ring2][=N],80
CC(NC([C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)=O)(C)C,[C][C][Branch2][Branch1][#C][N][C][Branch2][Branch1][=Branch2][C@@H1][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C][N][Ring1][=N][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][=O][Branch1][C][C][C],71
[C@H](Cc1ccccc1)(C(=O)N[C@H]1c2c(cccc2)C[C@H]1O)C[C@H](O)CN1CCN(Cc2cccnc2)C[C@H]1C(=O)NC(C)(C)C,[C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][C][C@H1][Branch1][C][O][C][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C@H1][Ring1][=N][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C],74
[C@@H]1(O)Cc2ccccc2[C@@H]1NC([C@@H](C[C@@H](CN1CCN(Cc2cccnc2)C[C@H]1C(NC(C)(C)C)=O)O)Cc1ccccc1)=O,[C@@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Ring1][#Branch2][N][C][Branch2][Branch1][Branch1][C@@H1][Branch2][Ring2][Branch2][C][C@@H1][Branch2][Ring2][C][C][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C@H1][Ring1][=N][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=O],74
C1N(C[C@@H](O)C[C@H](C(N[C@@H]2[C@H](O)Cc3ccccc32)=O)Cc2ccccc2)[C@H](C(=O)NC(C)(C)C)CN(Cc2cccnc2)C1,[C][N][Branch2][Ring2][#Branch2][C][C@@H1][Branch1][C][O][C][C@H1][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][Ring2][Ring2][=N],79
c1cccc2c1[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@@H](CN1[C@H](C(NC(C)(C)C)=O)CN(Cc3cnccc3)CC1)O)[C@H](O)C2,[C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch2][Branch1][N][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch2][Ring2][Branch1][C][N][C@H1][Branch1][=C][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=O][C][N][Branch1][#Branch2][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][O][C@H1][Branch1][C][O][C][Ring2][Ring2][=Branch2],79
C1N(Cc2cccnc2)CCN(C[C@H](C[C@H](C(N[C@@H]2[C@H](O)Cc3ccccc32)=O)Cc2ccccc2)O)[C@@H]1C(=O)NC(C)(C)C,[C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C][N][Branch2][Ring2][O][C][C@H1][Branch2][Ring2][Branch1][C][C@H1][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C@@H1][Ring2][Ring2][=Branch1][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C],78
c1ccccc1C[C@@H](C(N[C@@H]1[C@H](O)Cc2ccccc21)=O)C[C@H](O)CN1CCN(Cc2cccnc2)C[C@H]1C(=O)NC(C)(C)C,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][N][C@@H1][C@H1][Branch1][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=O][C][C@H1][Branch1][C][O][C][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][C@H1][Ring1][=N][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C],73
O=C(O[C@H]([C@H](C(=O)O)OC(/C=C/c1cc(O)c(O)cc1)=O)C(O)=O)/C=C/c1cc(O)c(O)cc1,[O][=C][Branch2][Ring2][Branch2][O][C@H1][Branch2][Ring1][=C][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][O][C][Branch1][P][/C][=C][/C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][=O][C][Branch1][C][O][=O][/C][=C][/C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],60
c1(/C=C/C(O[C@H]([C@@H](OC(/C=C/c2cc(O)c(O)cc2)=O)C(O)=O)C(=O)O)=O)ccc(O)c(O)c1,[C][Branch2][Ring2][S][/C][=C][/C][Branch2][Ring2][=Branch2][O][C@H1][Branch2][Ring1][#C][C@@H1][Branch2][Ring1][=Branch1][O][C][Branch1][P][/C][=C][/C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][=O][C][Branch1][C][O][=O][C][=Branch1][C][=O][O][=O][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring2][Ring2][C],65
Oc1cc(/C=C/C(=O)O[C@@H](C(O)=O)[C@H](C(O)=O)OC(/C=C/c2ccc(O)c(O)c2)=O)ccc1O,[O][C][=C][C][Branch2][Ring2][=N][/C][=C][/C][=Branch1][C][=O][O][C@@H1][Branch1][=Branch1][C][Branch1][C][O][=O][C@H1][Branch1][=Branch1][C][Branch1][C][O][=O][O][C][Branch1][P][/C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][=O][=C][C][=C][Ring2][Ring1][S][O],58
Oc1ccc(/C=C/C(O[C@@H](C(O)=O)[C@@H](OC(=O)/C=C/c2cc(O)c(O)cc2)C(O)=O)=O)cc1O,[O][C][=C][C][=C][Branch2][Ring2][#C][/C][=C][/C][Branch2][Ring2][Branch2][O][C@@H1][Branch1][=Branch1][C][Branch1][C][O][=O][C@@H1][Branch2][Ring1][=Branch1][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Branch1][C][O][=O][=O][C][=C][Ring2][Ring1][S][O],60
c1cc(/C=C/C(O[C@H]([C@H](C(O)=O)OC(/C=C/c2ccc(O)c(O)c2)=O)C(O)=O)=O)cc(O)c1O,[C][=C][C][Branch2][Ring2][#C][/C][=C][/C][Branch2][Ring2][Branch2][O][C@H1][Branch2][Ring1][=C][C@H1][Branch1][=Branch1][C][Branch1][C][O][=O][O][C][Branch1][P][/C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][=O][C][Branch1][C][O][=O][=O][=C][C][Branch1][C][O][=C][Ring2][Ring1][P][O],62
O=C(O[C@H]([C@H](C(O)=O)OC(=O)/C=C/c1cc(O)c(O)cc1)C(O)=O)/C=C/c1cc(O)c(O)cc1,[O][=C][Branch2][Ring2][Branch2][O][C@H1][Branch2][Ring1][=C][C@H1][Branch1][=Branch1][C][Branch1][C][O][=O][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Branch1][C][O][=O][/C][=C][/C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],60
c1c(O)c(O)cc(/C=C/C(=O)O[C@H]([C@H](C(=O)O)OC(=O)/C=C/c2ccc(O)c(O)c2)C(=O)O)c1,[C][=C][Branch1][C][O][C][Branch1][C][O][=C][C][Branch2][Ring2][=C][/C][=C][/C][=Branch1][C][=O][O][C@H1][Branch2][Ring1][=C][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][O][=C][Ring2][Ring2][C],63
C(/C=C/c1ccc(O)c(O)c1)(O[C@H]([C@H](C(O)=O)OC(=O)/C=C/c1cc(O)c(O)cc1)C(O)=O)=O,[C][Branch1][P][/C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][Branch2][Ring2][Branch2][O][C@H1][Branch2][Ring1][=C][C@H1][Branch1][=Branch1][C][Branch1][C][O][=O][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Branch1][C][O][=O][=O],62
C(\C(O[C@@H](C(=O)O)[C@@H](OC(/C=C/c1ccc(O)c(O)c1)=O)C(=O)O)=O)=C/c1ccc(O)c(O)c1,[C][Branch2][Ring2][=N][\C][Branch2][Ring2][Branch2][O][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch2][Ring1][=Branch1][O][C][Branch1][P][/C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][=O][C][=Branch1][C][=O][O][=O][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],63
c1(O)ccc(/C=C/C(=O)O[C@@H](C(=O)O)[C@H](C(O)=O)OC(/C=C/c2ccc(O)c(O)c2)=O)cc1O,[C][Branch1][C][O][=C][C][=C][Branch2][Ring2][=N][/C][=C][/C][=Branch1][C][=O][O][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@H1][Branch1][=Branch1][C][Branch1][C][O][=O][O][C][Branch1][P][/C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][=O][C][=C][Ring2][Ring1][P][O],60
