Augmented_Smiles,Augmented_Selfies,selfies_length
c1c(CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(Cc3cccc(N)c3)C2=O)cccc1N,[C][=C][Branch2][Branch1][#Branch1][C][N][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][Ring2][Ring1][#C][=O][C][=C][C][=C][Ring2][Ring2][#Branch1][N],67
c1(CN2C(=O)N(Cc3cc(N)ccc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)cc(N)ccc1,[C][Branch2][Branch1][#Branch1][C][N][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][Branch1][C][N][=C][C][=C][Ring2][Ring2][Branch2],69
[C@H]1(Cc2ccccc2)N(Cc2cccc(N)c2)C(=O)N(Cc2cc(N)ccc2)[C@H](Cc2ccccc2)[C@H](O)[C@H]1O,[C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Ring2][Ring2][#Branch1][O],67
C1(=O)N(Cc2cccc(N)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cc(N)ccc1,[C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][S][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1],67
C(N1C(=O)N(Cc2cccc(N)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1)c1cc(N)ccc1,[C][Branch2][Branch1][=Branch1][N][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1],68
O=C1N(Cc2cc(N)ccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cc(N)ccc1,[O][=C][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][#C][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1],65
c1cc(CN2C(=O)N(Cc3cc(N)ccc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)cc(N)c1,[C][=C][C][Branch2][Branch1][#Branch1][C][N][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][Branch1][C][N][=C][Ring2][Ring2][Branch2],69
N1(Cc2cccc(N)c2)C(=O)N(Cc2cc(N)ccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,[N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][P][C][C][=C][C][=C][C][=C][Ring1][=Branch1],67
c1cc(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(Cc3cccc(N)c3)C(=O)N2Cc2cccc(N)c2)ccc1,[C][=C][C][Branch2][Branch1][#Branch2][C][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][=C][C][=C][Ring2][Ring2][Branch2],69
c1ccccc1C[C@@H]1[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(Cc2cc(N)ccc2)C(=O)N1Cc1cc(N)ccc1,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][=Branch2][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1],65
